index	itemText	coding	type	options	questionText	elements
1	Admitting that your tastes are different from those of a friend. 	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
2	Going camping in the wilderness.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
3	Betting a day's income at the horse races.	"F,G"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
4	Investing 10% of your annual income in a moderate growth diversified fund.	"F,I"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
5	Drinking heavily at a social function.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
6	Taking some questionable deductions on your income tax return.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
7	Disagreeing with an authority figure on a major issue.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
8	Betting a day's income at a high-stake poker game.	"F,G"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
9	Having an affair with a married man/woman.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
10	Passing off somebody else's work as your own.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
11	Going down a ski run that is beyond your ability.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
12	Investing 5% of your annual income in a very speculative stock.	"F,I"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
13	Going whitewater rafting at high water in the spring.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
14	Betting a day's income on the outcome of a sporting event.	"F,G"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
15	Engaging in unprotected sex.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
16	Revealing a friend's secret to someone else.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
17	Driving a car without wearing a seat belt.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
18	Investing 10% of your annual income in a new business venture.	"F,I"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
19	Taking a skydiving class.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
20	Riding a motorcycle without a helmet.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
21	Choosing a career that you truly enjoy over a more secure one.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
22	Speaking your mind about an unpopular issue in a meeting at work.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
23	Sunbathing without sunscreen.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
24	Bungee jumping off a tall bridge.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
25	Piloting a small plane.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
26	Walking home alone at night in an unsafe area of town.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
27	Moving to a city far away from your extended family.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
28	Starting a new career in your mid-thirties.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
29	Leaving your young children alone at home while running an errand.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
30	Not returning a wallet you found that contains $200.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7